"IEA.country.name","Flow","Product","2000"
"South Africa","Total energy supply; Energy industry own use; Coal mines","Electricity",0.080959137922914
"South Africa","Total energy supply; Energy industry own use; Oil and gas extraction","Electricity",1.17529772355651
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Electricity",0.939268264701517
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Refinery gas",0.793374180872095
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Charcoal",0.337
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Liquefied petroleum gases (LPG)",0.479379679802273
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Other kerosene",0.4
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Primary solid biofuels",0.490365023487809
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Fuel oil",0.44345
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Gas/diesel oil excl. biofuels",0.318223067081888
"Ghana","Total energy supply; Energy industry own use; Gasification plants for biogases","Motor gasoline excl. biofuels",0.17311104587129
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Electricity",0.741543926352414
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Gas works gas",0.533319270395461
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Refinery gas",0.793374180872095
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Blast furnace gas",0.303846153846154
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Coke oven coke",0.303846153846154
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Coke oven gas",0.303846153846154
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Other bituminous coal",0.543181404053341
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Charcoal",0.337
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Fuel oil",0.420344216988399
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Gas/diesel oil excl. biofuels",0.283235606589327
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Liquefied petroleum gases (LPG)",0.487782151251641
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Motor gasoline excl. biofuels",0.17947373756722
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Other kerosene",0.383817687749317
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Primary solid biofuels",0.459078803920585
"South Africa","Total energy supply; Energy industry own use; Gasification plants for biogases","Kerosene type jet fuel excl. biofuels",0.205492036881811
"South Africa","Total energy supply; Energy industry own use; Coke ovens","Electricity",1.17529772355651
"Ghana","Total energy supply; Energy industry own use; Oil refineries","Refinery gas",0.793374180872095
"South Africa","Total energy supply; Energy industry own use; Oil refineries","Electricity",0.550728469019139
"South Africa","Total energy supply; Energy industry own use; Oil refineries","Gas works gas",0.793374180872095
"South Africa","Total energy supply; Energy industry own use; Oil refineries","Refinery gas",0.793374180872095
"South Africa","Total energy supply; Energy industry own use; Liquefaction (LNG) / regasification plants","Electricity",1.17529772355651
"Ghana","Total energy supply; Energy industry own use; Own use in electricity, CHP and heat plants","Electricity",1.17529772355651
"South Africa","Total energy supply; Energy industry own use; Own use in electricity, CHP and heat plants","Electricity",1.17529772355651
"Ghana","Total energy supply; Energy industry own use; Pumped storage plants","Electricity",1.17529772355651
"South Africa","Total energy supply; Energy industry own use; Pumped storage plants","Electricity",1.17529772355651
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Electricity",0.939268264701517
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Refinery gas",0.793374180872095
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Charcoal",0.337
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Liquefied petroleum gases (LPG)",0.479379679802273
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Other kerosene",0.4
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Primary solid biofuels",0.490365023487809
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Fuel oil",0.44345
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Gas/diesel oil excl. biofuels",0.318223067081888
"Ghana","Total energy supply; Energy industry own use; Non-specified (energy)","Motor gasoline excl. biofuels",0.17311104587129
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Electricity",0.741543926352414
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Gas works gas",0.533319270395461
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Refinery gas",0.793374180872095
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Blast furnace gas",0.303846153846154
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Coke oven coke",0.303846153846154
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Coke oven gas",0.303846153846154
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Other bituminous coal",0.543181404053341
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Charcoal",0.337
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Fuel oil",0.420344216988399
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Gas/diesel oil excl. biofuels",0.283235606589327
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Liquefied petroleum gases (LPG)",0.487782151251641
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Motor gasoline excl. biofuels",0.17947373756722
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Other kerosene",0.383817687749317
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Primary solid biofuels",0.459078803920585
"South Africa","Total energy supply; Energy industry own use; Non-specified (energy)","Kerosene type jet fuel excl. biofuels",0.205492036881811
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Electricity",0.568139933069335
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Gas works gas",0.793374180872095
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Other bituminous coal",0.699630552705467
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Fuel oil",0.214109343669654
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Gas/diesel oil excl. biofuels",0.214109343669654
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Liquefied petroleum gases (LPG)",0.45
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Motor gasoline excl. biofuels",0.214109343669654
"South Africa","Total energy supply; Total final consumption; Industry; Mining and quarrying","Other kerosene",0.000493440702781845
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Electricity",1.05457202445767
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Fuel oil",0.44345
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Gas/diesel oil excl. biofuels",0.44345
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Liquefied petroleum gases (LPG)",0.45
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Motor gasoline excl. biofuels",0.35476
"South Africa","Total energy supply; Total final consumption; Industry; Construction","Other kerosene",0.4
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Electricity",0.387026695810953
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Gas works gas",0.303846153846154
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Blast furnace gas",0.303846153846154
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Coke oven coke",0.303846153846154
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Coke oven gas",0.303846153846154
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel","Other bituminous coal",0.303846153846154
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical","Electricity",0.594638654727527
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical","Gas works gas",0.762598330527979
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical","Other bituminous coal",0.762598330527979
